timestamp_utc,market,city,station,target_date,threshold_f,yes_ask,no_ask,yes_bid,no_bid,volume,notes
2026-06-16T10:30:00Z,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,72,0.86,0.27,0.73,0.14,40,
2026-06-16T10:30:00Z,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,73,0.77,0.35,0.65,0.23,140,
2026-06-16T10:30:00Z,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,74,0.49,0.64,0.36,0.51,165,
2026-06-16T10:30:00Z,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,75,0.26,0.87,0.13,0.74,112,
2026-06-16T10:30:00Z,Chicago Daily Temperature High,Chicago,KMDW,2026-06-17,76,0.11,,0.01,,40,
